,title,director,duration,rating,genre,type,cleaned_title,disney+,netflix,hbo
253,Anne,-,1,8.7,"['Drama', 'Family']",show,anne,Yes,Yes,Yes
254,Jujutsu Kaisen,-,24,8.7,"['Animation', 'Action', 'Adventure']",show,jujutsu kaisen,No,No,No
255,Dexter,-,53,8.6,"['Crime', 'Drama', 'Mystery']",show,dexter,No,No,Yes
256,The Haunting of Hill House,-,9:32,8.6,"['Drama', 'Horror', 'Mystery']",show,the haunting of hill house,No,No,No
257,The Bugs Bunny Show,-,30,8.6,"['Animation', 'Comedy']",show,the bugs bunny show,No,No,No
258,Westworld,-,1:2,8.6,"['Drama', 'Mystery', 'Sci-Fi']",show,westworld,No,No,Yes
259,Blackadder the Third,-,3,8.6,['Comedy'],show,blackadder the third,No,No,No
260,Daredevil,-,54,8.6,"['Action', 'Crime', 'Drama']",show,daredevil,Yes,No,No
261,This Is Us,-,45,8.6,"['Comedy', 'Drama', 'Romance']",show,this is us,No,No,No
262,Panchayat,-,35,8.8,"['Comedy', 'Drama']",show,panchayat,No,No,No
